company_name,website,industry,country,known_contact,fit_reason
ABB,https://global.abb,Industrial Automation,Switzerland,,large industrial automation vendor undergoing digital platform investment
Siemens,https://siemens.com,Industrial Technology,Germany,,scale and public digital-transformation programs across manufacturing
Snowflake,https://snowflake.com,Cloud Data Platform,United States,,data platform partner ecosystem relevant to modernization plays
Rockwell Automation,https://rockwellautomation.com,Industrial Automation,United States,,core ICP fit on industrial automation and plant operations
Schneider Electric,https://se.com,Energy Management and Automation,France,,active in automation investment and sustainability-linked transformation
Honeywell,https://honeywell.com,Industrial Technology,United States,,diversified industrial technology with active AI hiring signals
Emerson Electric,https://emerson.com,Industrial Automation,United States,,automation and process control vendor within size range
Robert Bosch GmbH,https://bosch.com,Industrial Technology,Germany,,manufacturing and automation scale fits ICP employee range
Johnson Controls,https://johnsoncontrols.com,Building and Industrial Automation,Ireland,,building/industrial automation with digital transformation programs
GE Vernova,https://gevernova.com,Energy and Industrial,United States,,recently spun out, plausible new-leadership and transformation signals
Tata Steel,https://tatasteel.com,Manufacturing,India,,large India-based manufacturer aligned with target geography
Mahindra & Mahindra,https://mahindra.com,Manufacturing and Automotive,India,,India-based manufacturing conglomerate with digital initiatives
